candidate_id,artist_id,canonical_name,observation_type,observed_entity_name,event_name,event_date,relationship_type,source_url,source_name,raw_text_excerpt,suggested_confidence_score,accepted,needs_human_review_reason,why_matched,review_notes
candidate_ef8d3711e8dc,artist_wolfgang_tillmans,Wolfgang Tillmans,artist_profile,Wolfgang Tillmans,,,identity_match,http://www.wikidata.org/entity/Q704012,Wikidata,Wolfgang Tillmans — German photographer (born 1968),0.80,no,Structured source appears to describe a visual artist; verify identity before accepting.,name matched a visual-artist description; exact name match to 'Wolfgang Tillmans'; Wikidata description: Wolfgang Tillmans — German photographer (born 1968),
candidate_488b67ff2ea8,artist_wolfgang_tillmans,Wolfgang Tillmans,museum_exhibition,Wolfgang Tillmans: 2017,Wolfgang Tillmans: 2017,,exhibited_at,http://www.wikidata.org/entity/Q84569158,Wikidata,Wolfgang Tillmans: 2017 — Art exhibition at Tate Modern,0.45,no,Wikidata result looks like an exhibition; confirm the artist participated and identify the host institution.,exhibition-like Wikidata result; partial name match to 'Wolfgang Tillmans'; Wikidata description: Wolfgang Tillmans: 2017 — Art exhibition at Tate Modern,
candidate_025a6ff5eece,artist_wolfgang_tillmans,Wolfgang Tillmans,museum_exhibition,Wolfgang Tillmans: 'Book for Architects',Wolfgang Tillmans: 'Book for Architects',,exhibited_at,http://www.wikidata.org/entity/Q115054967,Wikidata,Wolfgang Tillmans: 'Book for Architects' — 2015 Exhibition at Metropolitan Museum,0.45,no,Wikidata result looks like an exhibition; confirm the artist participated and identify the host institution.,exhibition-like Wikidata result; partial name match to 'Wolfgang Tillmans'; Wikidata description: Wolfgang Tillmans: 'Book for Architects' — 2015 Exhibition at Metropolitan Museum,
candidate_7d3510e8a3f9,artist_susanne_clausen,Susanne Clausen,rejected_match,Susanne Clausen,,,not_applicable,http://www.wikidata.org/entity/Q70276781,Wikidata,"Susanne Clausen — German artist, curator and Professor of Fine Art",0.10,no,"Potential false match: result appears to be a non-artist, artwork, institution, exhibition, or unrelated entity.","Wikidata search returned a lexical match, but type evidence is weak; exact name match to 'Susanne Clausen'; Wikidata description: Susanne Clausen — German artist, curator and Professor of Fine Art",
candidate_bf16ea459ade,artist_susanne_clausen,Susanne Clausen,rejected_match,Susanne Clausen,,,not_applicable,http://www.wikidata.org/entity/Q95650853,Wikidata,Susanne Clausen,0.25,no,Result does not clearly describe the queried artist as a visual artist.,"Wikidata search returned a lexical match, but type evidence is weak; exact name match to 'Susanne Clausen'; Wikidata description: Susanne Clausen",
candidate_cf6750a5e19d,artist_jade_fadojutimi,Jade Fadojutimi,artist_profile,Jadé Fadojutimi,,,identity_match,http://www.wikidata.org/entity/Q57628796,Wikidata,Jadé Fadojutimi — British visual artist (born 1993),0.80,no,Structured source appears to describe a visual artist; verify identity before accepting.,name matched a visual-artist description; exact name match to 'Jade Fadojutimi'; Wikidata description: Jadé Fadojutimi — British visual artist (born 1993),
candidate_1df7d77a5d34,artist_tunji_adeniyi_jones,Tunji Adeniyi-Jones,artist_profile,Tunji Adeniyi-Jones,,,identity_match,http://www.wikidata.org/entity/Q110467057,Wikidata,Tunji Adeniyi-Jones — artist (born 1992),0.45,no,The source says artist but not clearly visual artist or painter; confirm this is the correct art-market artist.,name matched a generic artist description; exact name match to 'Tunji Adeniyi-Jones'; Wikidata description: Tunji Adeniyi-Jones — artist (born 1992),
candidate_5189c09f8e10,artist_issy_wood,Issy Wood,artist_profile,Issy Wood,,,identity_match,http://www.wikidata.org/entity/Q109282298,Wikidata,Issy Wood — American artist (born 1993),0.45,no,The source says artist but not clearly visual artist or painter; confirm this is the correct art-market artist.,name matched a generic artist description; exact name match to 'Issy Wood'; Wikidata description: Issy Wood — American artist (born 1993),
candidate_661af729e6d2,artist_flora_yukhnovich,Flora Yukhnovich,rejected_match,Flora Yukhnovich,,,not_applicable,http://www.wikidata.org/entity/Q112529874,Wikidata,Flora Yukhnovich,0.25,no,Result does not clearly describe the queried artist as a visual artist.,"Wikidata search returned a lexical match, but type evidence is weak; exact name match to 'Flora Yukhnovich'; Wikidata description: Flora Yukhnovich",
candidate_3453345aaab6,artist_flora_yukhnovich,Flora Yukhnovich,artist_profile,Flora Yukhnovich,,,identity_match,http://www.wikidata.org/entity/Q109286598,Wikidata,Flora Yukhnovich — British painter,0.80,no,Structured source appears to describe a visual artist; verify identity before accepting.,name matched a visual-artist description; exact name match to 'Flora Yukhnovich'; Wikidata description: Flora Yukhnovich — British painter,
