artist_id,artist_name,birth_year,death_year,nationality,gender,primary_medium,artist_website_url,bio_source_url,bio_confidence_score,gallery_name,gallery_city,gallery_country,gallery_tier,gallery_prestige_score,gallery_start_date,gallery_source_url,gallery_confidence_score,museum_name,museum_city,museum_country,museum_tier,museum_event_type,event_name,event_start_date,event_end_date,event_source_url,event_confidence_score,acquisition_date,acquisition_value_usd,acquisition_source_url,acquisition_confidence_score,art_fair_name,art_fair_date,art_fair_city,art_fair_country,art_fair_source_url,art_fair_confidence_score,auction_house,sale_name,lot_number,sale_date,work_title,work_medium,creation_year,estimate_low_usd,estimate_high_usd,price_usd,currency,auction_source_url,auction_confidence_score,press_outlet,article_title,article_author,publication_date,article_url,mention_count,sentiment_score,press_confidence_score,collector_name,collector_type,collector_source_url,collector_confidence_score,curator_name,curator_source_url,curator_confidence_score,notes
artist_kaye_donachie,Kaye Donachie,1970,,British,female,painting,,https://www.maureenpaley.com/artists/kaye-donachie/biography,1,Maureen Paley,London,United Kingdom,,,,https://www.maureenpaley.com/about,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christie's,The Rosa De La Cruz Collection Online Sale,36,18/07/2024,Squeeky (Is The World As Sad As It Seems),Oil on canvas,2004,3000,5000,8820,USD,https://onlineonly.christies.com/s/rosa-de-la-cruz-collection-online-sale/kaye-donachie-b-1970-36/228376,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christie’s,Collection Marion Lambert - Vente Online,474,27/05/2021,Hobos lament,Oil on canvas,2005,2438,3657,8381,EUR,https://onlineonly.christies.com/s/collection-marion-lambert-vente-online/kaye-donachie-nee-en-1970-474/119830,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christie’s,Post-War To Present: Online,8,03/07/2025,Song For The Last Act,Oil on canvas,2011,2729,4094,6018,GBP,https://onlineonly.christies.com/s/post-war-present-online/kaye-donachie-b-1970-8/263061,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christie’s,First Open | Post-War & Contemporary Art,137,04/06/2024,Horizons That I See and I’m Your Music Mind [Two Works],Oil on canvas,2004,4000,6000,3024,USD,https://onlineonly.christies.com/s/first-open-post-war-contemporary-art/kaye-donachie-b-1970-137/221980,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christie’s,A Visual Odyssey Selections From LAC (Lambert Art Collection) Staged By Jacques Grange,155,14/10/2015,"Do you feel my love my grief. Just a breath, just an echo.",Oil on canvas,2006,7718,10805,4824,GBP,https://www.christies.com/en/lot/lot-5936900,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christie’s,90s To Now,79,20/02/2014,Untitled,Graphite and gouache on paper,2006,1334,2001,2084,GBP,https://onlineonly.christies.com/s/90s-now/untitled-79/3530,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillips,"20th Century & Contemporary Art: Online Auction, New York",108,20/03/2024,Our faces are formless like the stars,Oil on canvas,2007,2000,3000,5715,USD,https://www.phillips.com/detail/kaye-donachie/198130,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillips,Under the Influence,276,07/03/2014,What will there be tomorrow,Oil on canvas,2005,5000,7000,5000,USD,https://www.phillips.com/detail/kaye-donachie/78764,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillips,Under the Influence,310,08/03/2013,Red and Blue,Oil on canvas,2002,5000,7000,6875,USD,https://www.phillips.com/detail/kaye-donachie/71840,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sotheby’s,Contemporary Art Online,62,12/04/2019,And The Magical Song Swells Weaves Away,Oil on canvas,2006,1961,2614,3104,GBP,https://www.sothebys.com/en/buy/auction/2019/contemporary-art-online-2/kaye-donachie-and-the-magical-song-swells-weaves,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sotheby’s,Contemporary Art Online | London,64,21/11/2019,Wandervogel,Oil on canvas,2005,1292,1938,6460,GBP,https://www.sothebys.com/en/buy/auction/2019/contemporary-art-online-4/kaye-donachie-wandervogel,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sotheby’s,Contemporary Art Online | London,69,21/11/2019,Squeaky (Eyes Of A Dreamer),Oil on canvas,2004,1292,1938,5653,GBP,https://www.sothebys.com/en/buy/auction/2019/contemporary-art-online-4/kaye-donachie-squeaky-eyes-of-a-dreamer,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,I kept the memory for myself,22/02/2024,30/03/2024,https://www.maureenpaley.com/exhibitions/kaye-donachie-I-kept-the-memory-for-myself,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,Kaye Donachie: Song for the Last Act,13/05/2023,08/10/2023,https://pallant.org.uk/whats-on/kaye-donachie-song-for-the-last-act/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_pavlo_kerestey,Pavlo Kerestey,1962,,,male,painting,,https://voloshyngallery.art/artists/37-pavlo-kerestey/,1,Voloshyn Gallery,Miami,United States,,,,https://voloshyngallery.art/contact/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_pavlo_kerestey,Pavlo Kerestey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillips,Under the Influence,137,10/12/2014,Group Dynamics,Oil on canvas,2013,15694,23541,21653,GBP,https://www.phillips.com/detail/pavlo-kerestey/81963,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,Lismore Castle,County Waterford,Ireland,,,,https://lismorecastlearts.ie/whats-on/kaye-donachie,1,,,,,gallery_exhibition,Into The Thousand Mirrors,28/08/2021,31/10/2021,https://lismorecastlearts.ie/whats-on/kaye-donachie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
