artist_id,sale_date,price_usd
artist_ada_rios,2021-01-15,65000
artist_ada_rios,2024-01-15,155000
artist_mina_park,2021-03-12,42000
artist_mina_park,2024-03-12,91000
artist_luca_voss,2020-11-20,70000
artist_luca_voss,2023-11-20,98000
artist_noor_haddad,2021-06-01,53000
artist_noor_haddad,2024-06-01,128000
artist_elias_stone,2020-04-30,120000
artist_elias_stone,2023-04-30,162000
artist_sana_okoye,2021-10-09,28000
artist_sana_okoye,2024-10-09,72000
artist_jules_marin,2020-07-07,80000
artist_jules_marin,2023-07-07,136000
artist_iris_klein,2020-02-14,140000
artist_iris_klein,2023-02-14,190000
